"riding_id","date","prediction_338","probability_338","prediction_poliwave","probability_poliwave","prediction_signal","probability_signal","prediction","probability"
35051,2025-04-01,"CPC",0.95,"CPC",0.696627767338199,"CPC",0.95,"CPC",0.865542589112733
35052,2025-04-01,"CPC",0.95,"CPC",0.715554710853058,"CPC",0.95,"CPC",0.871851570284353
35053,2025-04-01,"LPC",0.95,"LPC",0.738544965969654,"LPC",0.8,"LPC",0.829514988656551
35054,2025-04-01,"LPC",0.5,"NDP",0.561496560480833,"CPC",0.5,"NDP",0.187165520160278
35055,2025-04-01,"LPC",0.8,"LPC",0.642822584668181,"LPC",0.5,"LPC",0.647607528222727
35056,2025-04-01,"LPC",0.8,"LPC",0.692707305339565,"LPC",0.8,"LPC",0.764235768446522
35057,2025-04-01,"LPC",0.95,"LPC",0.850864528988508,"LPC",0.95,"LPC",0.916954842996169
35058,2025-04-01,"LPC",0.65,"LPC",0.526390495126582,"CPC",0.8,"LPC",0.392130165042194
35059,2025-04-01,"CPC",0.8,"CPC",0.609034551695515,"CPC",0.8,"CPC",0.736344850565172
35060,2025-04-01,"LPC",0.65,"LPC",0.612804930244354,"LPC",0.5,"LPC",0.587601643414785
35061,2025-04-01,"LPC",0.95,"LPC",0.728677751047886,"LPC",0.95,"LPC",0.876225917015962
35062,2025-04-01,"LPC",0.95,"LPC",0.703734009158499,"LPC",0.8,"LPC",0.817911336386166
35063,2025-04-01,"LPC",0.95,"LPC",0.752429087810895,"LPC",0.8,"LPC",0.834143029270298
35064,2025-04-01,"LPC",0.8,"LPC",0.639596853880262,"LPC",0.65,"LPC",0.696532284626754
35065,2025-04-01,"LPC",0.95,"LPC",0.780195327717038,"LPC",0.8,"LPC",0.843398442572346
35066,2025-04-01,"LPC",0.8,"LPC",0.74107480058944,"LPC",0.8,"LPC",0.780358266863147
35067,2025-04-01,"LPC",0.8,"LPC",0.794991952004266,"LPC",0.8,"LPC",0.798330650668089
35068,2025-04-01,"LPC",0.8,"LPC",0.616363769959782,"LPC",0.65,"LPC",0.688787923319927
35069,2025-04-01,"CPC",0.8,"CPC",0.639373894957354,"CPC",0.8,"CPC",0.746457964985785
35070,2025-04-01,"LPC",0.5,"LPC",0.541795980044903,"CPC",0.5,"LPC",0.347265326681634
35071,2025-04-01,"LPC",0.5,"LPC",0.56252942108136,"LPC",0.5,"LPC",0.520843140360453
35072,2025-04-01,"CPC",0.8,"CPC",0.568161875943043,"CPC",0.65,"CPC",0.672720625314348
35073,2025-04-01,"LPC",0.8,"LPC",0.598996996202869,"LPC",0.65,"LPC",0.68299899873429
35074,2025-04-01,"CPC",0.8,"CPC",0.542583064499961,"CPC",0.65,"CPC",0.66419435483332
35075,2025-04-01,"LPC",0.8,"LPC",0.641317324345992,"LPC",0.65,"LPC",0.697105774781997
35076,2025-04-01,"LPC",0.8,"LPC",0.668072463853955,"LPC",0.65,"LPC",0.706024154617985
35077,2025-04-01,"LPC",0.95,"LPC",0.887912073272552,"LPC",0.8,"LPC",0.879304024424184
35078,2025-04-01,"CPC",0.95,"CPC",0.630928800246168,"CPC",0.8,"CPC",0.793642933415389
35079,2025-04-01,"LPC",0.95,"LPC",0.818463117504904,"LPC",0.95,"LPC",0.906154372501635
35080,2025-04-01,"LPC",0.95,"LPC",0.84520185443044,"LPC",0.8,"LPC",0.865067284810147
35081,2025-04-01,"LPC",0.95,"LPC",0.9211865440208,"LPC",0.95,"LPC",0.9403955146736
35082,2025-04-01,"LPC",0.95,"LPC",0.758769389711151,"LPC",0.8,"LPC",0.83625646323705
35083,2025-04-01,"CPC",0.95,"CPC",0.722065074266618,"CPC",0.95,"CPC",0.874021691422206
35084,2025-04-01,"CPC",0.95,"CPC",0.748456588003834,"CPC",0.95,"CPC",0.882818862667945
35085,2025-04-01,"CPC",0.95,"CPC",0.764293286472867,"CPC",0.95,"CPC",0.888097762157622
35086,2025-04-01,"LPC",0.5,"LPC",0.532317361530188,"CPC",0.5,"LPC",0.344105787176729
35087,2025-04-01,"LPC",0.8,"LPC",0.75977966178673,"LPC",0.8,"LPC",0.786593220595577
35088,2025-04-01,"LPC",0.8,"LPC",0.72726668440833,"LPC",0.8,"LPC",0.775755561469443
35089,2025-04-01,"LPC",0.8,"LPC",0.582900686441513,"LPC",0.65,"LPC",0.677633562147171
35090,2025-04-01,"CPC",0.95,"CPC",0.772881454298531,"CPC",0.95,"CPC",0.890960484766177
35091,2025-04-01,"CPC",0.8,"LPC",0.566448095340226,"CPC",0.5,"CPC",0.433333333333333
35092,2025-04-01,"LPC",0.95,"LPC",0.727079826877486,"LPC",0.95,"LPC",0.875693275625829
35093,2025-04-01,"LPC",0.95,"LPC",0.810838150574916,"LPC",0.95,"LPC",0.903612716858305
35094,2025-04-01,"LPC",0.95,"LPC",0.939650763174611,"LPC",0.95,"LPC",0.946550254391537
35095,2025-04-01,"LPC",0.95,"LPC",0.972325989832535,"LPC",0.95,"LPC",0.957441996610845
35096,2025-04-01,"LPC",0.95,"LPC",0.922819249801231,"LPC",0.95,"LPC",0.940939749933744
35097,2025-04-01,"LPC",0.95,"LPC",0.823518996324436,"LPC",0.95,"LPC",0.907839665441479
35098,2025-04-01,"CPC",0.8,"CPC",0.664699653327435,"CPC",0.8,"CPC",0.754899884442478
35099,2025-04-01,"CPC",0.8,"CPC",0.57590774401695,"CPC",0.65,"CPC",0.675302581338983
35100,2025-04-01,"LPC",0.95,"LPC",0.761097938612737,"LPC",0.8,"LPC",0.837032646204246
35101,2025-04-01,"LPC",0.8,"LPC",0.634096057652683,"LPC",0.65,"LPC",0.694698685884228
35102,2025-04-01,"CPC",0.95,"CPC",0.808550708468517,"CPC",0.95,"CPC",0.902850236156172
35103,2025-04-01,"LPC",0.8,"LPC",0.679293712461844,"LPC",0.65,"LPC",0.709764570820615
35104,2025-04-01,"LPC",0.8,"LPC",0.643213452254566,"LPC",0.65,"LPC",0.697737817418189
35105,2025-04-01,"LPC",0.95,"LPC",0.703812073887787,"LPC",0.95,"LPC",0.867937357962596
35106,2025-04-01,"CPC",0.8,"CPC",0.657163606166737,"CPC",0.8,"CPC",0.752387868722246
35107,2025-04-01,"LPC",0.8,"LPC",0.671194139248811,"LPC",0.65,"LPC",0.707064713082937
35108,2025-04-01,"LPC",0.95,"LPC",0.814995643589396,"LPC",0.8,"LPC",0.854998547863132
35109,2025-04-01,"LPC",0.95,"LPC",0.963628550623104,"LPC",0.95,"LPC",0.954542850207701
35110,2025-04-01,"LPC",0.95,"LPC",0.99,"LPC",0.95,"LPC",0.963333333333333
35111,2025-04-01,"LPC",0.95,"LPC",0.740737134332892,"LPC",0.95,"LPC",0.880245711444297
35112,2025-04-01,"LPC",0.95,"LPC",0.848326298344141,"LPC",0.95,"LPC",0.916108766114713
35113,2025-04-01,"LPC",0.8,"LPC",0.623191516373022,"LPC",0.65,"LPC",0.691063838791007
35114,2025-04-01,"LPC",0.95,"LPC",0.803892062426372,"LPC",0.8,"LPC",0.851297354142124
35115,2025-04-01,"CPC",0.8,"CPC",0.597652277617683,"CPC",0.8,"CPC",0.732550759205894
35116,2025-04-01,"LPC",0.8,"LPC",0.723380938087174,"LPC",0.65,"LPC",0.724460312695725
35117,2025-04-01,"LPC",0.8,"LPC",0.605504502625671,"LPC",0.8,"LPC",0.73516816754189
35118,2025-04-01,"LPC",0.8,"LPC",0.65204604906923,"LPC",0.5,"LPC",0.65068201635641
35119,2025-04-01,"LPC",0.5,"NDP",0.534066631819557,"NDP",0.8,"NDP",0.444688877273186
35120,2025-04-01,"LPC",0.65,"LPC",0.514987377813598,"LPC",0.65,"LPC",0.604995792604533
35121,2025-04-01,"CPC",0.95,"CPC",0.69520850313718,"CPC",0.8,"CPC",0.815069501045727
